"Código","Municipio","Población de 7 años o más","Lugar de Estudio","Cantidad de Personas x Lugar","Porcentaje por Lugar de Estudio"
1502,"San Miguel Chicaj",27345,"En el mismo municipio",7742,28.31
1502,"San Miguel Chicaj",27345,"En otro municipio",1010,3.69
1502,"San Miguel Chicaj",27345,"En otro país",1,0
1502,"San Miguel Chicaj",27345,"NA_Lugar_Estudio",168,0.61
1503,"Rabinal",34690,"En el mismo municipio",10012,28.86
1503,"Rabinal",34690,"En otro municipio",1090,3.14
1503,"Rabinal",34690,"En otro país",1,0
1503,"Rabinal",34690,"NA_Lugar_Estudio",177,0.51
1504,"Cubulco",45369,"En el mismo municipio",10100,22.26
1504,"Cubulco",45369,"En otro municipio",596,1.31
1504,"Cubulco",45369,"En otro país",0,0
1504,"Cubulco",45369,"NA_Lugar_Estudio",295,0.65
1505,"Granados",11644,"En el mismo municipio",2458,21.11
1505,"Granados",11644,"En otro municipio",473,4.06
1505,"Granados",11644,"En otro país",2,0.02
1505,"Granados",11644,"NA_Lugar_Estudio",60,0.52
1506,"Santa Cruz El Chol",8188,"En el mismo municipio",1786,21.81
1506,"Santa Cruz El Chol",8188,"En otro municipio",391,4.78
1506,"Santa Cruz El Chol",8188,"En otro país",0,0
1506,"Santa Cruz El Chol",8188,"NA_Lugar_Estudio",15,0.18
1507,"San Jerónimo",21412,"En el mismo municipio",4442,20.75
1507,"San Jerónimo",21412,"En otro municipio",1563,7.3
1507,"San Jerónimo",21412,"En otro país",1,0
1507,"San Jerónimo",21412,"NA_Lugar_Estudio",131,0.61
1508,"Purulhá",44495,"En el mismo municipio",12015,27
1508,"Purulhá",44495,"En otro municipio",761,1.71
1508,"Purulhá",44495,"En otro país",1,0
1508,"Purulhá",44495,"NA_Lugar_Estudio",244,0.55
1601,"Cobán",176556,"En el mismo municipio",51179,28.99
1601,"Cobán",176556,"En otro municipio",1947,1.1
1601,"Cobán",176556,"En otro país",26,0.01
1601,"Cobán",176556,"NA_Lugar_Estudio",1571,0.89
1602,"Santa Cruz Verapaz",26246,"En el mismo municipio",6354,24.21
1602,"Santa Cruz Verapaz",26246,"En otro municipio",1826,6.96
1602,"Santa Cruz Verapaz",26246,"En otro país",3,0.01
1602,"Santa Cruz Verapaz",26246,"NA_Lugar_Estudio",94,0.36
1603,"San Cristóbal Verapaz",55367,"En el mismo municipio",16033,28.96
1603,"San Cristóbal Verapaz",55367,"En otro municipio",1492,2.69
1603,"San Cristóbal Verapaz",55367,"En otro país",3,0.01
1603,"San Cristóbal Verapaz",55367,"NA_Lugar_Estudio",339,0.61
1604,"Tactic",31382,"En el mismo municipio",8056,25.67
1604,"Tactic",31382,"En otro municipio",1020,3.25
1604,"Tactic",31382,"En otro país",3,0.01
1604,"Tactic",31382,"NA_Lugar_Estudio",161,0.51
1605,"Tamahú",16174,"En el mismo municipio",4471,27.64
1605,"Tamahú",16174,"En otro municipio",337,2.08
1605,"Tamahú",16174,"En otro país",0,0
1605,"Tamahú",16174,"NA_Lugar_Estudio",114,0.7
1606,"San Miguel Tucurú",34450,"En el mismo municipio",9839,28.56
1606,"San Miguel Tucurú",34450,"En otro municipio",193,0.56
1606,"San Miguel Tucurú",34450,"En otro país",0,0
1606,"San Miguel Tucurú",34450,"NA_Lugar_Estudio",343,1
1607,"Panzós",56330,"En el mismo municipio",15516,27.54
1607,"Panzós",56330,"En otro municipio",575,1.02
1607,"Panzós",56330,"En otro país",0,0
1607,"Panzós",56330,"NA_Lugar_Estudio",408,0.72
1608,"Senahú",73262,"En el mismo municipio",18731,25.57
1608,"Senahú",73262,"En otro municipio",550,0.75
1608,"Senahú",73262,"En otro país",1,0
1608,"Senahú",73262,"NA_Lugar_Estudio",552,0.75
1609,"San Pedro Carchá",190682,"En el mismo municipio",49633,26.03
1609,"San Pedro Carchá",190682,"En otro municipio",3019,1.58
1609,"San Pedro Carchá",190682,"En otro país",3,0
1609,"San Pedro Carchá",190682,"NA_Lugar_Estudio",1103,0.58
1610,"San Juan Chamelco",46967,"En el mismo municipio",12110,25.78
1610,"San Juan Chamelco",46967,"En otro municipio",1702,3.62
1610,"San Juan Chamelco",46967,"En otro país",2,0
1610,"San Juan Chamelco",46967,"NA_Lugar_Estudio",303,0.65
1611,"San Agustín Lanquín",19587,"En el mismo municipio",4836,24.69
1611,"San Agustín Lanquín",19587,"En otro municipio",119,0.61
1611,"San Agustín Lanquín",19587,"En otro país",0,0
1611,"San Agustín Lanquín",19587,"NA_Lugar_Estudio",198,1.01
1612,"Santa María Cahabón",53122,"En el mismo municipio",13836,26.05
1612,"Santa María Cahabón",53122,"En otro municipio",286,0.54
1612,"Santa María Cahabón",53122,"En otro país",0,0
1612,"Santa María Cahabón",53122,"NA_Lugar_Estudio",860,1.62
1613,"Chisec",67101,"En el mismo municipio",18834,28.07
1613,"Chisec",67101,"En otro municipio",799,1.19
1613,"Chisec",67101,"En otro país",3,0
1613,"Chisec",67101,"NA_Lugar_Estudio",548,0.82
1614,"Chahal",21430,"En el mismo municipio",5511,25.72
1614,"Chahal",21430,"En otro municipio",332,1.55
1614,"Chahal",21430,"En otro país",4,0.02
1614,"Chahal",21430,"NA_Lugar_Estudio",196,0.91
1615,"Fray Bartolomé de las Casas",53309,"En el mismo municipio",14614,27.41
1615,"Fray Bartolomé de las Casas",53309,"En otro municipio",479,0.9
1615,"Fray Bartolomé de las Casas",53309,"En otro país",1,0
1615,"Fray Bartolomé de las Casas",53309,"NA_Lugar_Estudio",292,0.55
1616,"Santa Catalina La Tinta",32694,"En el mismo municipio",9622,29.43
1616,"Santa Catalina La Tinta",32694,"En otro municipio",224,0.69
1616,"Santa Catalina La Tinta",32694,"En otro país",1,0
1616,"Santa Catalina La Tinta",32694,"NA_Lugar_Estudio",205,0.63
1617,"Raxruhá",29576,"En el mismo municipio",8255,27.91
1617,"Raxruhá",29576,"En otro municipio",247,0.84
1617,"Raxruhá",29576,"En otro país",0,0
1617,"Raxruhá",29576,"NA_Lugar_Estudio",216,0.73
1701,"Flores",32869,"En el mismo municipio",9675,29.44
1701,"Flores",32869,"En otro municipio",405,1.23
1701,"Flores",32869,"En otro país",12,0.04
1701,"Flores",32869,"NA_Lugar_Estudio",318,0.97
1702,"San José",5840,"En el mismo municipio",1280,21.92
1702,"San José",5840,"En otro municipio",491,8.41
1702,"San José",5840,"En otro país",3,0.05
1702,"San José",5840,"NA_Lugar_Estudio",52,0.89
1703,"San Benito",37396,"En el mismo municipio",10103,27.02
1703,"San Benito",37396,"En otro municipio",1760,4.71
1703,"San Benito",37396,"En otro país",4,0.01
1703,"San Benito",37396,"NA_Lugar_Estudio",629,1.68
1704,"San Andrés",26660,"En el mismo municipio",6592,24.73
1704,"San Andrés",26660,"En otro municipio",563,2.11
1704,"San Andrés",26660,"En otro país",25,0.09
1704,"San Andrés",26660,"NA_Lugar_Estudio",163,0.61
1705,"La Libertad",59014,"En el mismo municipio",16047,27.19
1705,"La Libertad",59014,"En otro municipio",289,0.49
1705,"La Libertad",59014,"En otro país",8,0.01
1705,"La Libertad",59014,"NA_Lugar_Estudio",514,0.87
1706,"San Francisco",12752,"En el mismo municipio",3442,26.99
1706,"San Francisco",12752,"En otro municipio",398,3.12
1706,"San Francisco",12752,"En otro país",5,0.04
1706,"San Francisco",12752,"NA_Lugar_Estudio",133,1.04
1707,"Santa Ana",18226,"En el mismo municipio",4549,24.96
1707,"Santa Ana",18226,"En otro municipio",613,3.36
1707,"Santa Ana",18226,"En otro país",2,0.01
1707,"Santa Ana",18226,"NA_Lugar_Estudio",250,1.37
1708,"Dolores",22101,"En el mismo municipio",6145,27.8
1708,"Dolores",22101,"En otro municipio",355,1.61
1708,"Dolores",22101,"En otro país",0,0
1708,"Dolores",22101,"NA_Lugar_Estudio",220,1
1709,"San Luis",54895,"En el mismo municipio",13857,25.24
1709,"San Luis",54895,"En otro municipio",437,0.8
1709,"San Luis",54895,"En otro país",5,0.01
1709,"San Luis",54895,"NA_Lugar_Estudio",343,0.62
1710,"Sayaxché",74570,"En el mismo municipio",21265,28.52
1710,"Sayaxché",74570,"En otro municipio",475,0.64
1710,"Sayaxché",74570,"En otro país",12,0.02
1710,"Sayaxché",74570,"NA_Lugar_Estudio",569,0.76
1711,"Melchor de Mencos",23557,"En el mismo municipio",5552,23.57
1711,"Melchor de Mencos",23557,"En otro municipio",243,1.03
1711,"Melchor de Mencos",23557,"En otro país",486,2.06
1711,"Melchor de Mencos",23557,"NA_Lugar_Estudio",233,0.99
1712,"Poptún",43517,"En el mismo municipio",12927,29.71
1712,"Poptún",43517,"En otro municipio",209,0.48
1712,"Poptún",43517,"En otro país",7,0.02
1712,"Poptún",43517,"NA_Lugar_Estudio",496,1.14
1713,"Las Cruces",26491,"En el mismo municipio",6399,24.16
1713,"Las Cruces",26491,"En otro municipio",238,0.9
1713,"Las Cruces",26491,"En otro país",20,0.08
1713,"Las Cruces",26491,"NA_Lugar_Estudio",183,0.69
1714,"El Chal",11443,"En el mismo municipio",2968,25.94
1714,"El Chal",11443,"En otro municipio",140,1.22
1714,"El Chal",11443,"En otro país",2,0.02
1714,"El Chal",11443,"NA_Lugar_Estudio",105,0.92
1801,"Puerto Barrios",88034,"En el mismo municipio",23604,26.81
1801,"Puerto Barrios",88034,"En otro municipio",193,0.22
1801,"Puerto Barrios",88034,"En otro país",7,0.01
1801,"Puerto Barrios",88034,"NA_Lugar_Estudio",1334,1.52
1802,"Livingston",60101,"En el mismo municipio",15992,26.61
1802,"Livingston",60101,"En otro municipio",592,0.99
1802,"Livingston",60101,"En otro país",5,0.01
1802,"Livingston",60101,"NA_Lugar_Estudio",648,1.08
1803,"El Estor",57875,"En el mismo municipio",17355,29.99
1803,"El Estor",57875,"En otro municipio",330,0.57
1803,"El Estor",57875,"En otro país",1,0
1803,"El Estor",57875,"NA_Lugar_Estudio",605,1.05
1804,"Morales",85458,"En el mismo municipio",21715,25.41
1804,"Morales",85458,"En otro municipio",694,0.81
1804,"Morales",85458,"En otro país",27,0.03
1804,"Morales",85458,"NA_Lugar_Estudio",662,0.77
1805,"Los Amates",51146,"En el mismo municipio",12418,24.28
1805,"Los Amates",51146,"En otro municipio",673,1.32
1805,"Los Amates",51146,"En otro país",2,0
1805,"Los Amates",51146,"NA_Lugar_Estudio",575,1.12
1901,"Zacapa",52315,"En el mismo municipio",13454,25.72
1901,"Zacapa",52315,"En otro municipio",402,0.77
1901,"Zacapa",52315,"En otro país",3,0.01
1901,"Zacapa",52315,"NA_Lugar_Estudio",761,1.45
1902,"Estanzuela",8679,"En el mismo municipio",1785,20.57
1902,"Estanzuela",8679,"En otro municipio",331,3.81
1902,"Estanzuela",8679,"En otro país",0,0
1902,"Estanzuela",8679,"NA_Lugar_Estudio",92,1.06
1903,"Río Hondo",18647,"En el mismo municipio",3960,21.24
1903,"Río Hondo",18647,"En otro municipio",607,3.26
1903,"Río Hondo",18647,"En otro país",2,0.01
1903,"Río Hondo",18647,"NA_Lugar_Estudio",188,1.01
1904,"Gualán",38900,"En el mismo municipio",7984,20.52
1904,"Gualán",38900,"En otro municipio",455,1.17
1904,"Gualán",38900,"En otro país",6,0.02
1904,"Gualán",38900,"NA_Lugar_Estudio",725,1.86
1905,"Teculután",15264,"En el mismo municipio",3662,23.99
1905,"Teculután",15264,"En otro municipio",336,2.2
1905,"Teculután",15264,"En otro país",0,0
1905,"Teculután",15264,"NA_Lugar_Estudio",309,2.02
1906,"Usumatlán",10375,"En el mismo municipio",2272,21.9
1906,"Usumatlán",10375,"En otro municipio",524,5.05
1906,"Usumatlán",10375,"En otro país",0,0
1906,"Usumatlán",10375,"NA_Lugar_Estudio",72,0.69
1907,"Cabañas",11566,"En el mismo municipio",2680,23.17
1907,"Cabañas",11566,"En otro municipio",348,3.01
1907,"Cabañas",11566,"En otro país",0,0
1907,"Cabañas",11566,"NA_Lugar_Estudio",78,0.67
1908,"San Diego",6210,"En el mismo municipio",1698,27.34
1908,"San Diego",6210,"En otro municipio",125,2.01
1908,"San Diego",6210,"En otro país",0,0
1908,"San Diego",6210,"NA_Lugar_Estudio",106,1.71
1909,"La Unión",27064,"En el mismo municipio",6141,22.69
1909,"La Unión",27064,"En otro municipio",315,1.16
1909,"La Unión",27064,"En otro país",0,0
1909,"La Unión",27064,"NA_Lugar_Estudio",397,1.47
1910,"Huité",9546,"En el mismo municipio",2345,24.57
1910,"Huité",9546,"En otro municipio",290,3.04
1910,"Huité",9546,"En otro país",0,0
1910,"Huité",9546,"NA_Lugar_Estudio",70,0.73
1911,"San Jorge",10626,"En el mismo municipio",2646,24.9
1911,"San Jorge",10626,"En otro municipio",287,2.7
1911,"San Jorge",10626,"En otro país",0,0
1911,"San Jorge",10626,"NA_Lugar_Estudio",164,1.54
2001,"Chiquimula",94267,"En el mismo municipio",24771,26.28
2001,"Chiquimula",94267,"En otro municipio",269,0.29
2001,"Chiquimula",94267,"En otro país",9,0.01
2001,"Chiquimula",94267,"NA_Lugar_Estudio",1169,1.24
2002,"San José la Arada",7538,"En el mismo municipio",1331,17.66
2002,"San José la Arada",7538,"En otro municipio",328,4.35
2002,"San José la Arada",7538,"En otro país",0,0
2002,"San José la Arada",7538,"NA_Lugar_Estudio",60,0.8
2003,"San Juan Ermita",13703,"En el mismo municipio",2912,21.25
2003,"San Juan Ermita",13703,"En otro municipio",486,3.55
2003,"San Juan Ermita",13703,"En otro país",0,0
2003,"San Juan Ermita",13703,"NA_Lugar_Estudio",114,0.83
2004,"Jocotán",52224,"En el mismo municipio",13147,25.17
2004,"Jocotán",52224,"En otro municipio",465,0.89
2004,"Jocotán",52224,"En otro país",0,0
2004,"Jocotán",52224,"NA_Lugar_Estudio",519,0.99
2005,"Camotán",44574,"En el mismo municipio",11009,24.7
2005,"Camotán",44574,"En otro municipio",832,1.87
2005,"Camotán",44574,"En otro país",6,0.01
2005,"Camotán",44574,"NA_Lugar_Estudio",374,0.84
2006,"Olopa",21810,"En el mismo municipio",5386,24.7
2006,"Olopa",21810,"En otro municipio",391,1.79
2006,"Olopa",21810,"En otro país",1,0
2006,"Olopa",21810,"NA_Lugar_Estudio",134,0.61
2007,"Esquipulas",45098,"En el mismo municipio",10327,22.9
2007,"Esquipulas",45098,"En otro municipio",543,1.2
2007,"Esquipulas",45098,"En otro país",30,0.07
2007,"Esquipulas",45098,"NA_Lugar_Estudio",483,1.07
2008,"Concepción las Minas",10260,"En el mismo municipio",2094,20.41
2008,"Concepción las Minas",10260,"En otro municipio",243,2.37
2008,"Concepción las Minas",10260,"En otro país",1,0.01
2008,"Concepción las Minas",10260,"NA_Lugar_Estudio",145,1.41
2009,"Quezaltepeque",24071,"En el mismo municipio",5099,21.18
2009,"Quezaltepeque",24071,"En otro municipio",567,2.36
2009,"Quezaltepeque",24071,"En otro país",2,0.01
2009,"Quezaltepeque",24071,"NA_Lugar_Estudio",330,1.37
2010,"San Jacinto",10780,"En el mismo municipio",2227,20.66
2010,"San Jacinto",10780,"En otro municipio",324,3.01
2010,"San Jacinto",10780,"En otro país",0,0
2010,"San Jacinto",10780,"NA_Lugar_Estudio",81,0.75
2011,"Ipala",19509,"En el mismo municipio",4100,21.02
2011,"Ipala",19509,"En otro municipio",367,1.88
2011,"Ipala",19509,"En otro país",1,0.01
2011,"Ipala",19509,"NA_Lugar_Estudio",197,1.01
2101,"Jalapa",130920,"En el mismo municipio",39384,30.08
2101,"Jalapa",130920,"En otro municipio",815,0.62
2101,"Jalapa",130920,"En otro país",13,0.01
2101,"Jalapa",130920,"NA_Lugar_Estudio",988,0.75
2102,"San Pedro Pinula",50234,"En el mismo municipio",12389,24.66
2102,"San Pedro Pinula",50234,"En otro municipio",772,1.54
2102,"San Pedro Pinula",50234,"En otro país",1,0
2102,"San Pedro Pinula",50234,"NA_Lugar_Estudio",342,0.68
2103,"San Luis Jilotepeque",21370,"En el mismo municipio",4188,19.6
2103,"San Luis Jilotepeque",21370,"En otro municipio",805,3.77
2103,"San Luis Jilotepeque",21370,"En otro país",1,0
2103,"San Luis Jilotepeque",21370,"NA_Lugar_Estudio",91,0.43
2104,"San Manuel Chaparrón",7210,"En el mismo municipio",1420,19.69
2104,"San Manuel Chaparrón",7210,"En otro municipio",223,3.09
2104,"San Manuel Chaparrón",7210,"En otro país",1,0.01
2104,"San Manuel Chaparrón",7210,"NA_Lugar_Estudio",43,0.6
2105,"San Carlos Alzatate",15344,"En el mismo municipio",3872,25.23
2105,"San Carlos Alzatate",15344,"En otro municipio",272,1.77
2105,"San Carlos Alzatate",15344,"En otro país",0,0
2105,"San Carlos Alzatate",15344,"NA_Lugar_Estudio",129,0.84
2106,"Monjas",23363,"En el mismo municipio",5435,23.26
2106,"Monjas",23363,"En otro municipio",482,2.06
2106,"Monjas",23363,"En otro país",1,0
2106,"Monjas",23363,"NA_Lugar_Estudio",206,0.88
2107,"Mataquescuintla",35037,"En el mismo municipio",8350,23.83
2107,"Mataquescuintla",35037,"En otro municipio",413,1.18
2107,"Mataquescuintla",35037,"En otro país",0,0
2107,"Mataquescuintla",35037,"NA_Lugar_Estudio",244,0.7
2201,"Jutiapa",123277,"En el mismo municipio",34538,28.02
2201,"Jutiapa",123277,"En otro municipio",903,0.73
2201,"Jutiapa",123277,"En otro país",3,0
2201,"Jutiapa",123277,"NA_Lugar_Estudio",1256,1.02
2202,"El Progreso",19244,"En el mismo municipio",4107,21.34
2202,"El Progreso",19244,"En otro municipio",722,3.75
2202,"El Progreso",19244,"En otro país",3,0.02
2202,"El Progreso",19244,"NA_Lugar_Estudio",203,1.05
2203,"Santa Catarina Mita",24867,"En el mismo municipio",5235,21.05
2203,"Santa Catarina Mita",24867,"En otro municipio",759,3.05
2203,"Santa Catarina Mita",24867,"En otro país",2,0.01
2203,"Santa Catarina Mita",24867,"NA_Lugar_Estudio",203,0.82
2204,"Agua Blanca",14356,"En el mismo municipio",2854,19.88
2204,"Agua Blanca",14356,"En otro municipio",268,1.87
2204,"Agua Blanca",14356,"En otro país",17,0.12
2204,"Agua Blanca",14356,"NA_Lugar_Estudio",137,0.95
2205,"Asunción Mita",42018,"En el mismo municipio",8557,20.37
2205,"Asunción Mita",42018,"En otro municipio",905,2.15
2205,"Asunción Mita",42018,"En otro país",21,0.05
2205,"Asunción Mita",42018,"NA_Lugar_Estudio",445,1.06
2206,"Yupiltepeque",14956,"En el mismo municipio",3798,25.39
2206,"Yupiltepeque",14956,"En otro municipio",750,5.01
2206,"Yupiltepeque",14956,"En otro país",1,0.01
2206,"Yupiltepeque",14956,"NA_Lugar_Estudio",163,1.09
2207,"Atescatempa",16106,"En el mismo municipio",3558,22.09
2207,"Atescatempa",16106,"En otro municipio",387,2.4
2207,"Atescatempa",16106,"En otro país",48,0.3
2207,"Atescatempa",16106,"NA_Lugar_Estudio",160,0.99
2208,"Jerez",5568,"En el mismo municipio",1195,21.46
2208,"Jerez",5568,"En otro municipio",236,4.24
2208,"Jerez",5568,"En otro país",46,0.83
2208,"Jerez",5568,"NA_Lugar_Estudio",16,0.29
2209,"El Adelanto",5556,"En el mismo municipio",1407,25.32
2209,"El Adelanto",5556,"En otro municipio",209,3.76
2209,"El Adelanto",5556,"En otro país",0,0
2209,"El Adelanto",5556,"NA_Lugar_Estudio",32,0.58
2210,"Zapotitlán",7827,"En el mismo municipio",1875,23.96
2210,"Zapotitlán",7827,"En otro municipio",490,6.26
2210,"Zapotitlán",7827,"En otro país",9,0.11
2210,"Zapotitlán",7827,"NA_Lugar_Estudio",102,1.3
2211,"Comapa",26734,"En el mismo municipio",7589,28.39
2211,"Comapa",26734,"En otro municipio",478,1.79
2211,"Comapa",26734,"En otro país",1,0
2211,"Comapa",26734,"NA_Lugar_Estudio",272,1.02
2212,"Jalpatagua",24603,"En el mismo municipio",6543,26.59
2212,"Jalpatagua",24603,"En otro municipio",573,2.33
2212,"Jalpatagua",24603,"En otro país",5,0.02
2212,"Jalpatagua",24603,"NA_Lugar_Estudio",238,0.97
2213,"Conguaco",18830,"En el mismo municipio",5421,28.79
2213,"Conguaco",18830,"En otro municipio",441,2.34
2213,"Conguaco",18830,"En otro país",1,0.01
2213,"Conguaco",18830,"NA_Lugar_Estudio",188,1
2214,"Moyuta",33323,"En el mismo municipio",8687,26.07
2214,"Moyuta",33323,"En otro municipio",511,1.53
2214,"Moyuta",33323,"En otro país",7,0.02
2214,"Moyuta",33323,"NA_Lugar_Estudio",347,1.04
2215,"Pasaco",7496,"En el mismo municipio",1880,25.08
2215,"Pasaco",7496,"En otro municipio",279,3.72
2215,"Pasaco",7496,"En otro país",0,0
2215,"Pasaco",7496,"NA_Lugar_Estudio",59,0.79
2216,"San José Acatempa",11548,"En el mismo municipio",2201,19.06
2216,"San José Acatempa",11548,"En otro municipio",770,6.67
2216,"San José Acatempa",11548,"En otro país",0,0
2216,"San José Acatempa",11548,"NA_Lugar_Estudio",149,1.29
2217,"Quesada",19418,"En el mismo municipio",4438,22.86
2217,"Quesada",19418,"En otro municipio",814,4.19
2217,"Quesada",19418,"En otro país",0,0
2217,"Quesada",19418,"NA_Lugar_Estudio",99,0.51
