"Código","Municipio","Total de personas","Lugar de Residencia en 2013","Personas","Porcentaje de la Poblacion"
101,"Guatemala",923392,"No habÍa nacido",70917,7.68
102,"Santa Catarina Pinula",80582,"No habÍa nacido",6805,8.44
103,"San José Pinula",79844,"No habÍa nacido",8116,10.16
104,"San José del Golfo",7229,"No habÍa nacido",740,10.24
105,"Palencia",70973,"No habÍa nacido",8048,11.34
106,"Chinautla",114752,"No habÍa nacido",11333,9.88
107,"San Pedro Ayampuc",58609,"No habÍa nacido",6148,10.49
108,"Mixco",465773,"No habÍa nacido",37135,7.97
109,"San Pedro Sacatepéquez",51292,"No habÍa nacido",5399,10.53
110,"San Juan Sacatepéquez",218156,"No habÍa nacido",23954,10.98
111,"San Raymundo",31605,"No habÍa nacido",3551,11.24
112,"Chuarrancho",12638,"No habÍa nacido",1486,11.76
113,"Fraijanes",58922,"No habÍa nacido",4770,8.1
114,"Amatitlán",116711,"No habÍa nacido",11237,9.63
115,"Villa Nueva",433734,"No habÍa nacido",38625,8.91
116,"Villa Canales",155422,"No habÍa nacido",15479,9.96
117,"San Miguel Petapa",135447,"No habÍa nacido",11016,8.13
201,"Guastatoya",24821,"No habÍa nacido",2266,9.13
202,"Morazán",12164,"No habÍa nacido",1169,9.61
203,"San Agustín Acasaguastlán",45765,"No habÍa nacido",5487,11.99
204,"San Cristóbal Acasaguastlán",7199,"No habÍa nacido",653,9.07
205,"El Jícaro",13128,"No habÍa nacido",1219,9.29
206,"Sansare",13154,"No habÍa nacido",1183,8.99
207,"Sanarate",39444,"No habÍa nacido",3618,9.17
208,"San Antonio la Paz",20957,"No habÍa nacido",2283,10.89
301,"Antigua Guatemala",46054,"No habÍa nacido",3598,7.81
302,"Jocotenango",21657,"No habÍa nacido",1680,7.76
303,"Pastores",17814,"No habÍa nacido",1699,9.54
304,"Sumpango",37260,"No habÍa nacido",3852,10.34
305,"Santo Domingo Xenacoj",12402,"No habÍa nacido",1325,10.68
306,"Santiago Sacatepéquez",29238,"No habÍa nacido",2767,9.46
307,"San Bartolomé Milpas Altas",7816,"No habÍa nacido",689,8.82
308,"San Lucas Sacatepéquez",23369,"No habÍa nacido",1999,8.55
309,"Santa Lucía Milpas Altas",15570,"No habÍa nacido",1347,8.65
310,"Magdalena Milpas Altas",11856,"No habÍa nacido",1064,8.97
311,"Santa María de Jesús",21938,"No habÍa nacido",2393,10.91
312,"Ciudad Vieja",33405,"No habÍa nacido",3039,9.1
313,"San Miguel Dueñas",12696,"No habÍa nacido",1207,9.51
314,"San Juan Alotenango",23986,"No habÍa nacido",2441,10.18
315,"San Antonio Aguas Calientes",11347,"No habÍa nacido",1027,9.05
316,"Santa Catarina Barahona",4061,"No habÍa nacido",367,9.04
401,"Chimaltenango",96985,"No habÍa nacido",9448,9.74
402,"San José Poaquil",26845,"No habÍa nacido",2847,10.61
403,"San Martín Jilotepeque",73469,"No habÍa nacido",8230,11.2
404,"San Juan Comalapa",48597,"No habÍa nacido",5312,10.93
405,"Santa Apolonia",18540,"No habÍa nacido",2567,13.85
406,"Tecpán Guatemala",91927,"No habÍa nacido",11984,13.04
407,"Patzún",58240,"No habÍa nacido",6547,11.24
408,"San Miguel Pochuta",8790,"No habÍa nacido",947,10.77
409,"Patzicía",33207,"No habÍa nacido",3623,10.91
410,"Santa Cruz Balanyá",9479,"No habÍa nacido",1100,11.6
411,"Acatenango",23228,"No habÍa nacido",2743,11.81
412,"San Pedro Yepocapa",34948,"No habÍa nacido",4344,12.43
413,"San Andrés Itzapa",32083,"No habÍa nacido",3721,11.6
414,"Parramos",15924,"No habÍa nacido",1649,10.36
415,"Zaragoza",24022,"No habÍa nacido",2716,11.31
416,"El Tejar",19492,"No habÍa nacido",1895,9.72
501,"Escuintla",156313,"No habÍa nacido",14698,9.4
502,"Santa Lucía Cotzumalguapa",112780,"No habÍa nacido",12044,10.68
503,"La Democracia",23017,"No habÍa nacido",2611,11.34
504,"Siquinalá",22968,"No habÍa nacido",2604,11.34
505,"Masagua",45323,"No habÍa nacido",5220,11.52
506,"Tiquisate",57292,"No habÍa nacido",6531,11.4
507,"La Gomera",46666,"No habÍa nacido",5336,11.43
508,"Guanagazapa",15958,"No habÍa nacido",1854,11.62
509,"San José",62801,"No habÍa nacido",6647,10.58
510,"Iztapa",18342,"No habÍa nacido",1981,10.8
511,"Palín",65873,"No habÍa nacido",6715,10.19
512,"San Vicente Pacaya",16705,"No habÍa nacido",1774,10.62
513,"Nueva Concepción",72909,"No habÍa nacido",8408,11.53
514,"Sipacate",16234,"No habÍa nacido",1778,10.95
601,"Cuilapa",41359,"No habÍa nacido",4241,10.25
602,"Barberena",58276,"No habÍa nacido",6153,10.56
603,"Santa Rosa de Lima",19702,"No habÍa nacido",2062,10.47
604,"Casillas",24956,"No habÍa nacido",2634,10.55
605,"San Rafael las Flores",12641,"No habÍa nacido",1516,11.99
606,"Oratorio",24954,"No habÍa nacido",2732,10.95
607,"San Juan Tecuaco",10122,"No habÍa nacido",1185,11.71
608,"Chiquimulilla",53727,"No habÍa nacido",5487,10.21
609,"Taxisco",29846,"No habÍa nacido",3197,10.71
610,"Santa María Ixhuatán",23801,"No habÍa nacido",2585,10.86
611,"Guazacapán",18855,"No habÍa nacido",2058,10.91
612,"Santa Cruz Naranjo",16385,"No habÍa nacido",1671,10.2
613,"Pueblo Nuevo Viñas",25529,"No habÍa nacido",2852,11.17
614,"Nueva Santa Rosa",36454,"No habÍa nacido",3791,10.4
701,"Sololá",88612,"No habÍa nacido",9409,10.62
702,"San José Chacayá",4068,"No habÍa nacido",485,11.92
703,"Santa María Visitación",2370,"No habÍa nacido",226,9.54
704,"Santa Lucía Utatlán",21284,"No habÍa nacido",2130,10.01
705,"Nahualá",75430,"No habÍa nacido",8458,11.21
706,"Santa Catarina Ixtahuacán",56981,"No habÍa nacido",6657,11.68
707,"Santa Clara la Laguna",9405,"No habÍa nacido",958,10.19
708,"Concepción",6601,"No habÍa nacido",797,12.07
709,"San Andrés Semetabaj",13142,"No habÍa nacido",1418,10.79
710,"Panajachel",15077,"No habÍa nacido",1409,9.35
711,"Santa Catarina Palopó",3924,"No habÍa nacido",405,10.32
712,"San Antonio Palopó",14437,"No habÍa nacido",1566,10.85
713,"San Lucas Tolimán",29772,"No habÍa nacido",3098,10.41
714,"Santa Cruz la Laguna",5820,"No habÍa nacido",707,12.15
715,"San Pablo la Laguna",7299,"No habÍa nacido",688,9.43
716,"San Marcos la Laguna",2617,"No habÍa nacido",229,8.75
717,"San Juan la Laguna",12162,"No habÍa nacido",1324,10.89
718,"San Pedro la Laguna",10705,"No habÍa nacido",912,8.52
719,"Santiago Atitlán",41877,"No habÍa nacido",3714,8.87
801,"Totonicapán",103952,"No habÍa nacido",9484,9.12
802,"San Cristóbal Totonicapán",36119,"No habÍa nacido",3416,9.46
803,"San Francisco el Alto",57894,"No habÍa nacido",6314,10.91
804,"San Andrés Xecul",26984,"No habÍa nacido",2949,10.93
805,"Momostenango",105617,"No habÍa nacido",13502,12.78
806,"Santa María Chiquimula",55013,"No habÍa nacido",7562,13.75
807,"Santa Lucía la Reforma",22378,"No habÍa nacido",3413,15.25
808,"San Bartolo Aguas Calientes",10612,"No habÍa nacido",1436,13.53
901,"Quetzaltenango",180706,"No habÍa nacido",15453,8.55
902,"Salcajá",19434,"No habÍa nacido",1649,8.49
903,"San Juan Olintepeque",35060,"No habÍa nacido",3617,10.32
904,"San Carlos Sija",30224,"No habÍa nacido",3087,10.21
905,"Sibilia",8407,"No habÍa nacido",952,11.32
906,"Cabricán",23033,"No habÍa nacido",2498,10.85
907,"Cajolá",14948,"No habÍa nacido",2113,14.14
908,"San Miguel Siguilá",7889,"No habÍa nacido",1040,13.18
909,"San Juan Ostuncalco",51828,"No habÍa nacido",6401,12.35
910,"San Mateo",7895,"No habÍa nacido",814,10.31
911,"Concepción Chiquirichapa",17342,"No habÍa nacido",1997,11.52
912,"San Martín Sacatepéquez",29373,"No habÍa nacido",3772,12.84
913,"Almolonga",15724,"No habÍa nacido",1230,7.82
914,"Cantel",42142,"No habÍa nacido",4141,9.83
915,"Huitán",13450,"No habÍa nacido",1885,14.01
916,"Zunil",14118,"No habÍa nacido",1244,8.81
917,"Colomba Costa Cuca",47544,"No habÍa nacido",5304,11.16
918,"San Francisco la Unión",7939,"No habÍa nacido",849,10.69
919,"El Palmar",29132,"No habÍa nacido",3414,11.72
920,"Coatepeque",105415,"No habÍa nacido",10953,10.39
921,"Génova",37497,"No habÍa nacido",4545,12.12
922,"Flores Costa Cuca",21630,"No habÍa nacido",2269,10.49
923,"La Esperanza",22166,"No habÍa nacido",2127,9.6
924,"Palestina de los Altos",16205,"No habÍa nacido",2152,13.28
1001,"Mazatenango",77431,"No habÍa nacido",7899,10.2
1002,"Cuyotenango",33436,"No habÍa nacido",3893,11.64
1003,"San Francisco Zapotitlán",22533,"No habÍa nacido",2369,10.51
1004,"San Bernardino",15849,"No habÍa nacido",1872,11.81
1005,"San José el Ídolo",10212,"No habÍa nacido",1228,12.03
1006,"Santo Domingo Suchitepéquez",42291,"No habÍa nacido",5055,11.95
1007,"San Lorenzo",13282,"No habÍa nacido",1523,11.47
1008,"Samayac",24790,"No habÍa nacido",2609,10.52
1009,"San Pablo Jocopilas",20433,"No habÍa nacido",2166,10.6
1010,"San Antonio Suchitepéquez",59184,"No habÍa nacido",7240,12.23
1011,"San Miguel Panán",10320,"No habÍa nacido",1389,13.46
1012,"San Gabriel",7383,"No habÍa nacido",826,11.19
1013,"Chicacao",60735,"No habÍa nacido",7798,12.84
1014,"Patulul",40683,"No habÍa nacido",4689,11.53
1015,"Santa Bárbara",26346,"No habÍa nacido",3352,12.72
1016,"San Juan Bautista",7826,"No habÍa nacido",986,12.6
1017,"Santo Tomas la Unión",11698,"No habÍa nacido",1125,9.62
1018,"Zunilito",8280,"No habÍa nacido",902,10.89
1019,"Pueblo Nuevo",11315,"No habÍa nacido",1226,10.84
1020,"Río Bravo",27606,"No habÍa nacido",3537,12.81
1021,"San José La Máquina",23062,"No habÍa nacido",2888,12.52
1101,"Retalhuleu",90505,"No habÍa nacido",9811,10.84
1102,"San Sebastián",29167,"No habÍa nacido",3036,10.41
1103,"Santa Cruz Muluá",13545,"No habÍa nacido",1589,11.73
1104,"San Martín Zapotitlán",12083,"No habÍa nacido",1322,10.94
1105,"San Felipe",24446,"No habÍa nacido",2754,11.27
1106,"San Andrés Villa Seca",47820,"No habÍa nacido",6218,13
1107,"Champerico",32815,"No habÍa nacido",3948,12.03
1108,"Nuevo San Carlos",39565,"No habÍa nacido",4463,11.28
1109,"El Asintal",36882,"No habÍa nacido",4108,11.14
1201,"San Marcos",47063,"No habÍa nacido",4918,10.45
1202,"San Pedro Sacatepéquez",79158,"No habÍa nacido",8132,10.27
1203,"San Antonio Sacatepéquez",19100,"No habÍa nacido",2370,12.41
1204,"Comitancillo",59489,"No habÍa nacido",8824,14.83
1205,"San Miguel Ixtahuacán",47301,"No habÍa nacido",7288,15.41
1206,"Concepción Tutuapa",68148,"No habÍa nacido",10805,15.86
1207,"Tacaná",75788,"No habÍa nacido",9589,12.65
1208,"Sibinal",15733,"No habÍa nacido",2034,12.93
1209,"Tajumulco",50907,"No habÍa nacido",7674,15.07
1210,"Tejutla",38669,"No habÍa nacido",5420,14.02
1211,"San Rafael Pie de la Cuesta",17139,"No habÍa nacido",1826,10.65
1212,"Nuevo Progreso",30067,"No habÍa nacido",3404,11.32
1213,"El Tumbador",44395,"No habÍa nacido",5256,11.84
1214,"San José el Rodeo",17881,"No habÍa nacido",2034,11.38
1215,"Malacatán",92816,"No habÍa nacido",10943,11.79
1216,"Catarina",30014,"No habÍa nacido",3244,10.81
1217,"Ayutla",37049,"No habÍa nacido",4312,11.64
1218,"Ocós",10841,"No habÍa nacido",1282,11.83
1219,"San Pablo",48937,"No habÍa nacido",5830,11.91
1220,"El Quetzal",23511,"No habÍa nacido",3016,12.83
1221,"La Reforma",17918,"No habÍa nacido",2105,11.75
1222,"Pajapita",21725,"No habÍa nacido",2401,11.05
1223,"Ixchiguán",22375,"No habÍa nacido",3147,14.06
1224,"San José Ojetenam",19009,"No habÍa nacido",2404,12.65
1225,"San Cristóbal Cucho",16619,"No habÍa nacido",2048,12.32
1226,"Sipacapa",20178,"No habÍa nacido",2991,14.82
1227,"Esquipulas Palo Gordo",12892,"No habÍa nacido",1569,12.17
1228,"Río Blanco",5318,"No habÍa nacido",640,12.03
1229,"San Lorenzo",13125,"No habÍa nacido",1687,12.85
1230,"La Blanca",29112,"No habÍa nacido",3709,12.74
1301,"Huehuetenango",117818,"No habÍa nacido",11579,9.83
1302,"Chiantla",87447,"No habÍa nacido",11332,12.96
1303,"Malacatancito",19155,"No habÍa nacido",2240,11.69
1304,"Cuilco",60395,"No habÍa nacido",8610,14.26
1305,"Nentón",45679,"No habÍa nacido",6761,14.8
1306,"San Pedro Necta",38510,"No habÍa nacido",5048,13.11
1307,"Jacaltenango",37171,"No habÍa nacido",4127,11.1
1308,"San Pedro Soloma",49030,"No habÍa nacido",7697,15.7
1309,"San Ildefonso Ixtahuacán",44424,"No habÍa nacido",6836,15.39
1310,"Santa Bárbara",33608,"No habÍa nacido",5032,14.97
1311,"La Libertad",38234,"No habÍa nacido",5138,13.44
1312,"La Democracia",55434,"No habÍa nacido",7224,13.03
1313,"San Miguel Acatán",27128,"No habÍa nacido",4397,16.21
1314,"San Rafael La Independencia",14149,"No habÍa nacido",2238,15.82
1315,"Todos Santos Cuchumatán",30186,"No habÍa nacido",4150,13.75
1316,"San Juan Atitán",19418,"No habÍa nacido",2445,12.59
1317,"Santa Eulalia",39025,"No habÍa nacido",5947,15.24
1318,"San Mateo Ixtatán",43810,"No habÍa nacido",6960,15.89
1319,"Colotenango",34834,"No habÍa nacido",5402,15.51
1320,"San Sebastián Huehuetenango",32608,"No habÍa nacido",4473,13.72
1321,"Tectitán",10830,"No habÍa nacido",1494,13.8
1322,"Concepción Huista",18915,"No habÍa nacido",2724,14.4
1323,"San Juan Ixcoy",23204,"No habÍa nacido",3674,15.83
1324,"San Antonio Huista",16697,"No habÍa nacido",1926,11.54
1325,"San Sebastián Coatán",20905,"No habÍa nacido",2939,14.06
1326,"Santa Cruz Barillas",100849,"No habÍa nacido",15446,15.32
1327,"Aguacatán",49607,"No habÍa nacido",5938,11.97
1328,"San Rafael Petzal",11271,"No habÍa nacido",1436,12.74
1329,"San Gaspar Ixchil",8142,"No habÍa nacido",1315,16.15
1330,"Santiago Chimaltenango",10507,"No habÍa nacido",1203,11.45
1331,"Santa Ana Huista",9413,"No habÍa nacido",1073,11.4
1332,"Unión Cantinil",15900,"No habÍa nacido",2017,12.69
1333,"Petatán",6366,"No habÍa nacido",975,15.32
1401,"Santa Cruz del Quiché",78279,"No habÍa nacido",8621,11.01
1402,"Chiché",29646,"No habÍa nacido",3823,12.9
1403,"Chinique",11382,"No habÍa nacido",1329,11.68
1404,"Zacualpa",32750,"No habÍa nacido",4165,12.72
1405,"Chajul",46658,"No habÍa nacido",6322,13.55
1406,"Santo Tomás Chichicastenango",141567,"No habÍa nacido",16513,11.66
1407,"Patzité",6144,"No habÍa nacido",830,13.51
1408,"San Antonio Ilotenango",25590,"No habÍa nacido",3923,15.33
1409,"San Pedro Jocopilas",31950,"No habÍa nacido",4318,13.51
1410,"Cunén",41455,"No habÍa nacido",6114,14.75
1411,"San Juan Cotzal",31532,"No habÍa nacido",4116,13.05
1412,"Joyabaj",82369,"No habÍa nacido",12184,14.79
1413,"Santa María Nebaj",72686,"No habÍa nacido",8425,11.59
1414,"San Andrés Sajcabajá",24981,"No habÍa nacido",2895,11.59
1415,"San Miguel Uspantán",65872,"No habÍa nacido",9297,14.11
1416,"Sacapulas",52620,"No habÍa nacido",6754,12.84
1417,"San Bartolomé Jocotenango",13568,"No habÍa nacido",1929,14.22
1418,"Canillá",12172,"No habÍa nacido",1513,12.43
1419,"Chicamán",39731,"No habÍa nacido",5825,14.66
1420,"Playa Grande Ixcán",99470,"No habÍa nacido",14534,14.61
1421,"Pachalum",8839,"No habÍa nacido",868,9.82
1501,"Salamá",65275,"No habÍa nacido",7287,11.16
1502,"San Miguel Chicaj",33121,"No habÍa nacido",4167,12.58
1503,"Rabinal",40797,"No habÍa nacido",4382,10.74
1504,"Cubulco",54869,"No habÍa nacido",6808,12.41
1505,"Granados",13595,"No habÍa nacido",1418,10.43
1506,"Santa Cruz El Chol",9538,"No habÍa nacido",957,10.03
1507,"San Jerónimo",25459,"No habÍa nacido",2882,11.32
1508,"Purulhá",56822,"No habÍa nacido",8913,15.69
1601,"Cobán",212421,"No habÍa nacido",25253,11.89
1602,"Santa Cruz Verapaz",32042,"No habÍa nacido",4118,12.85
1603,"San Cristóbal Verapaz",68819,"No habÍa nacido",9628,13.99
1604,"Tactic",38052,"No habÍa nacido",4796,12.6
1605,"Tamahú",19984,"No habÍa nacido",2777,13.9
1606,"San Miguel Tucurú",43473,"No habÍa nacido",6523,15
1607,"Panzós",71846,"No habÍa nacido",11090,15.44
1608,"Senahú",91974,"No habÍa nacido",13560,14.74
1609,"San Pedro Carchá",235275,"No habÍa nacido",31805,13.52
1610,"San Juan Chamelco",57456,"No habÍa nacido",7508,13.07
1611,"San Agustín Lanquín",24099,"No habÍa nacido",3167,13.14
1612,"Santa María Cahabón",64911,"No habÍa nacido",8405,12.95
1613,"Chisec",84553,"No habÍa nacido",12438,14.71
1614,"Chahal",26644,"No habÍa nacido",3722,13.97
1615,"Fray Bartolomé de las Casas",66141,"No habÍa nacido",9164,13.86
1616,"Santa Catalina La Tinta",40516,"No habÍa nacido",5661,13.97
1617,"Raxruhá",36832,"No habÍa nacido",5170,14.04
1701,"Flores",38186,"No habÍa nacido",3675,9.62
1702,"San José",6989,"No habÍa nacido",777,11.12
1703,"San Benito",43841,"No habÍa nacido",4425,10.09
1704,"San Andrés",32878,"No habÍa nacido",4420,13.44
1705,"La Libertad",71939,"No habÍa nacido",9031,12.55
1706,"San Francisco",15371,"No habÍa nacido",1843,11.99
1707,"Santa Ana",21970,"No habÍa nacido",2674,12.17
1708,"Dolores",26920,"No habÍa nacido",3438,12.77
1709,"San Luis",67038,"No habÍa nacido",8595,12.82
1710,"Sayaxché",93414,"No habÍa nacido",13323,14.26
1711,"Melchor de Mencos",28238,"No habÍa nacido",3392,12.01
1712,"Poptún",52282,"No habÍa nacido",6223,11.9
1713,"Las Cruces",32715,"No habÍa nacido",4374,13.37
1714,"El Chal",13819,"No habÍa nacido",1662,12.03
1801,"Puerto Barrios",100593,"No habÍa nacido",8734,8.68
1802,"Livingston",73492,"No habÍa nacido",9577,13.03
1803,"El Estor",73328,"No habÍa nacido",11078,15.11
1804,"Morales",100361,"No habÍa nacido",10427,10.39
1805,"Los Amates",60914,"No habÍa nacido",6898,11.32
1901,"Zacapa",60424,"No habÍa nacido",5704,9.44
1902,"Estanzuela",9797,"No habÍa nacido",749,7.65
1903,"Río Hondo",21434,"No habÍa nacido",1929,9
1904,"Gualán",45663,"No habÍa nacido",4725,10.35
1905,"Teculután",17602,"No habÍa nacido",1630,9.26
1906,"Usumatlán",12232,"No habÍa nacido",1326,10.84
1907,"Cabañas",13641,"No habÍa nacido",1441,10.56
1908,"San Diego",7235,"No habÍa nacido",725,10.02
1909,"La Unión",33572,"No habÍa nacido",4645,13.84
1910,"Huité",11470,"No habÍa nacido",1381,12.04
1911,"San Jorge",12304,"No habÍa nacido",1176,9.56
2001,"Chiquimula",111505,"No habÍa nacido",12165,10.91
2002,"San José la Arada",8756,"No habÍa nacido",846,9.66
2003,"San Juan Ermita",16418,"No habÍa nacido",1985,12.09
2004,"Jocotán",66379,"No habÍa nacido",10347,15.59
2005,"Camotán",56138,"No habÍa nacido",8425,15.01
2006,"Olopa",27511,"No habÍa nacido",4013,14.59
2007,"Esquipulas",53556,"No habÍa nacido",5930,11.07
2008,"Concepción las Minas",11693,"No habÍa nacido",985,8.42
2009,"Quezaltepeque",28075,"No habÍa nacido",2780,9.9
2010,"San Jacinto",12619,"No habÍa nacido",1307,10.36
2011,"Ipala",22413,"No habÍa nacido",1988,8.87
2101,"Jalapa",159840,"No habÍa nacido",20526,12.84
2102,"San Pedro Pinula",61908,"No habÍa nacido",8458,13.66
2103,"San Luis Jilotepeque",24679,"No habÍa nacido",2305,9.34
2104,"San Manuel Chaparrón",8317,"No habÍa nacido",744,8.95
2105,"San Carlos Alzatate",18977,"No habÍa nacido",2595,13.67
2106,"Monjas",27354,"No habÍa nacido",2827,10.33
2107,"Mataquescuintla",41848,"No habÍa nacido",4820,11.52
2201,"Jutiapa",145880,"No habÍa nacido",15901,10.9
2202,"El Progreso",22114,"No habÍa nacido",1971,8.91
2203,"Santa Catarina Mita",28983,"No habÍa nacido",2845,9.82
2204,"Agua Blanca",16353,"No habÍa nacido",1340,8.19
2205,"Asunción Mita",48297,"No habÍa nacido",4463,9.24
2206,"Yupiltepeque",17389,"No habÍa nacido",1731,9.95
2207,"Atescatempa",18402,"No habÍa nacido",1576,8.56
2208,"Jerez",6309,"No habÍa nacido",510,8.08
2209,"El Adelanto",6500,"No habÍa nacido",642,9.88
2210,"Zapotitlán",9126,"No habÍa nacido",871,9.54
2211,"Comapa",32207,"No habÍa nacido",3863,11.99
2212,"Jalpatagua",28832,"No habÍa nacido",2951,10.24
2213,"Conguaco",23452,"No habÍa nacido",3383,14.43
2214,"Moyuta",39781,"No habÍa nacido",4631,11.64
2215,"Pasaco",8854,"No habÍa nacido",964,10.89
2216,"San José Acatempa",13206,"No habÍa nacido",1153,8.73
2217,"Quesada",22710,"No habÍa nacido",2295,10.11
101,"Guatemala",923392,"En el mismo municipio",820794,88.89
102,"Santa Catarina Pinula",80582,"En el mismo municipio",67711,84.03
103,"San José Pinula",79844,"En el mismo municipio",61839,77.45
104,"San José del Golfo",7229,"En el mismo municipio",5978,82.69
105,"Palencia",70973,"En el mismo municipio",59570,83.93
106,"Chinautla",114752,"En el mismo municipio",97352,84.84
107,"San Pedro Ayampuc",58609,"En el mismo municipio",50543,86.24
108,"Mixco",465773,"En el mismo municipio",398953,85.65
109,"San Pedro Sacatepéquez",51292,"En el mismo municipio",42837,83.52
110,"San Juan Sacatepéquez",218156,"En el mismo municipio",183172,83.96
111,"San Raymundo",31605,"En el mismo municipio",26609,84.19
112,"Chuarrancho",12638,"En el mismo municipio",10754,85.09
113,"Fraijanes",58922,"En el mismo municipio",46144,78.31
114,"Amatitlán",116711,"En el mismo municipio",100761,86.33
115,"Villa Nueva",433734,"En el mismo municipio",366901,84.59
116,"Villa Canales",155422,"En el mismo municipio",133378,85.82
117,"San Miguel Petapa",135447,"En el mismo municipio",114471,84.51
201,"Guastatoya",24821,"En el mismo municipio",21217,85.48
202,"Morazán",12164,"En el mismo municipio",10713,88.07
203,"San Agustín Acasaguastlán",45765,"En el mismo municipio",39271,85.81
204,"San Cristóbal Acasaguastlán",7199,"En el mismo municipio",6249,86.8
205,"El Jícaro",13128,"En el mismo municipio",11706,89.17
206,"Sansare",13154,"En el mismo municipio",11614,88.29
207,"Sanarate",39444,"En el mismo municipio",34725,88.04
208,"San Antonio la Paz",20957,"En el mismo municipio",17713,84.52
301,"Antigua Guatemala",46054,"En el mismo municipio",40362,87.64
302,"Jocotenango",21657,"En el mismo municipio",18729,86.48
303,"Pastores",17814,"En el mismo municipio",15375,86.31
304,"Sumpango",37260,"En el mismo municipio",31641,84.92
305,"Santo Domingo Xenacoj",12402,"En el mismo municipio",10462,84.36
306,"Santiago Sacatepéquez",29238,"En el mismo municipio",24394,83.43
307,"San Bartolomé Milpas Altas",7816,"En el mismo municipio",6068,77.64
308,"San Lucas Sacatepéquez",23369,"En el mismo municipio",19040,81.48
309,"Santa Lucía Milpas Altas",15570,"En el mismo municipio",12673,81.39
310,"Magdalena Milpas Altas",11856,"En el mismo municipio",10485,88.44
311,"Santa María de Jesús",21938,"En el mismo municipio",19132,87.21
312,"Ciudad Vieja",33405,"En el mismo municipio",28431,85.11
313,"San Miguel Dueñas",12696,"En el mismo municipio",10559,83.17
314,"San Juan Alotenango",23986,"En el mismo municipio",21022,87.64
315,"San Antonio Aguas Calientes",11347,"En el mismo municipio",9681,85.32
316,"Santa Catarina Barahona",4061,"En el mismo municipio",3389,83.45
401,"Chimaltenango",96985,"En el mismo municipio",83081,85.66
402,"San José Poaquil",26845,"En el mismo municipio",23730,88.4
403,"San Martín Jilotepeque",73469,"En el mismo municipio",64629,87.97
404,"San Juan Comalapa",48597,"En el mismo municipio",42566,87.59
405,"Santa Apolonia",18540,"En el mismo municipio",15636,84.34
406,"Tecpán Guatemala",91927,"En el mismo municipio",78885,85.81
407,"Patzún",58240,"En el mismo municipio",50371,86.49
408,"San Miguel Pochuta",8790,"En el mismo municipio",7677,87.34
409,"Patzicía",33207,"En el mismo municipio",28844,86.86
410,"Santa Cruz Balanyá",9479,"En el mismo municipio",7942,83.79
411,"Acatenango",23228,"En el mismo municipio",20052,86.33
412,"San Pedro Yepocapa",34948,"En el mismo municipio",29966,85.74
413,"San Andrés Itzapa",32083,"En el mismo municipio",27165,84.67
414,"Parramos",15924,"En el mismo municipio",13517,84.88
415,"Zaragoza",24022,"En el mismo municipio",20257,84.33
416,"El Tejar",19492,"En el mismo municipio",16001,82.09
501,"Escuintla",156313,"En el mismo municipio",135236,86.52
502,"Santa Lucía Cotzumalguapa",112780,"En el mismo municipio",97289,86.26
503,"La Democracia",23017,"En el mismo municipio",19273,83.73
504,"Siquinalá",22968,"En el mismo municipio",18796,81.84
505,"Masagua",45323,"En el mismo municipio",38039,83.93
506,"Tiquisate",57292,"En el mismo municipio",48920,85.39
507,"La Gomera",46666,"En el mismo municipio",39751,85.18
508,"Guanagazapa",15958,"En el mismo municipio",13451,84.29
509,"San José",62801,"En el mismo municipio",54088,86.13
510,"Iztapa",18342,"En el mismo municipio",15874,86.54
511,"Palín",65873,"En el mismo municipio",53330,80.96
512,"San Vicente Pacaya",16705,"En el mismo municipio",14350,85.9
513,"Nueva Concepción",72909,"En el mismo municipio",62763,86.08
514,"Sipacate",16234,"En el mismo municipio",13655,84.11
601,"Cuilapa",41359,"En el mismo municipio",35752,86.44
602,"Barberena",58276,"En el mismo municipio",49547,85.02
